jitter_duration,background_color,regulate_or_look,image_file
1.0111,#0000ff,REGULATE,Resources/tobacco_0002.jpg
0.8847,#00cd00,LOOK,Resources/healthy2.jpg
1.2639,#00cd00,LOOK,Resources/tobacco_0016.jpg
0.8847,#00cd00,LOOK,Resources/tobacco_0011.jpg
0.8847,#00cd00,LOOK,Resources/healthy5.jpg
1.5167,#00cd00,LOOK,Resources/healthy8.jpg
1.2639,#00cd00,LOOK,Resources/tobacco_0030.jpg
1.0111,#0000ff,REGULATE,Resources/tobacco_0038.jpg
1.0111,#00cd00,LOOK,Resources/healthy11.jpg
1.0111,#00cd00,LOOK,Resources/healthy14.jpg
0.7583,#0000ff,REGULATE,Resources/tobacco_0033.jpg
0.8847,#0000ff,REGULATE,Resources/tobacco_0032.jpg
0.8847,#00cd00,LOOK,Resources/tobacco_0031.jpg
0.8847,#00cd00,LOOK,Resources/healthy19.jpg
1.2639,#00cd00,LOOK,Resources/healthy20.jpg
0.7583,#00cd00,LOOK,Resources/tobacco_0019.jpg
0.8847,#00cd00,LOOK,Resources/healthy21.jpg
0.7583,#00cd00,LOOK,Resources/healthy23.jpg
0.8847,#0000ff,REGULATE,Resources/tobacco_0029.jpg
0.8847,#00cd00,LOOK,Resources/tobacco_0015.jpg
0.8847,#00cd00,LOOK,Resources/healthy27.jpg
1.5167,#00cd00,LOOK,Resources/healthy29.jpg
0.8847,#00cd00,LOOK,Resources/healthy32.jpg
0.7583,#00cd00,LOOK,Resources/tobacco_0025.jpg
1.2639,#0000ff,REGULATE,Resources/tobacco_0027.jpg
2.0223,#00cd00,LOOK,Resources/healthy33.jpg
0.8847,#00cd00,LOOK,Resources/tobacco_0005.jpg
0.7583,#00cd00,LOOK,Resources/healthy34.jpg
0.8847,#00cd00,LOOK,Resources/healthy35.jpg
0.8847,#0000ff,REGULATE,Resources/tobacco_0012.jpg
1.0111,#00cd00,LOOK,Resources/healthy36.jpg
0.8847,#00cd00,LOOK,Resources/healthy37.jpg
1.0111,#0000ff,REGULATE,Resources/tobacco_0037.jpg
1.0111,#0000ff,REGULATE,Resources/tobacco_0014.jpg
0.8847,#00cd00,LOOK,Resources/tobacco_0003.jpg
0.7583,#00cd00,LOOK,Resources/tobacco_0018.jpg
0.8847,#00cd00,LOOK,Resources/healthy39.jpg
0.8847,#00cd00,LOOK,Resources/healthy41.jpg
0.8847,#00cd00,LOOK,Resources/healthy45.jpg
0.8847,#0000ff,REGULATE,Resources/tobacco_0039.jpg
